"Scientific Names","Common Names","Genus","Family","Latitude","Longitude","Elevation","Sample Number"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae",-33.97174167,18.39634167,766,8
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae",-33.96331332,18.42044935,907,9
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae",-33.96187339,18.42706553,877,10
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae",-33.95856433,18.40356159,863,11
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae",-33.96495486,18.41428329,947,12
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae",-33.97447778,18.4043,874,13
"Erica baccans","Berry Heath","Erica","Ericaceae",-34.09547594,18.39731855,324,1
"Erica baccans","Berry Heath","Erica","Ericaceae",-34.07096193,18.40142336,393,2
"Erica baccans","Berry Heath","Erica","Ericaceae",-33.95707813,18.42633115,557,3
"Erica baccans","Berry Heath","Erica","Ericaceae",-33.95714183,18.42650382,557,4
"Erica baccans","Berry Heath","Erica","Ericaceae",-34.05749167,18.36695833,293,5
"Erica baccans","Berry Heath","Erica","Ericaceae",-34.05926697,18.366983,100,6
"Erica corifolia","Purpletip Heath","Erica","Ericaceae",-34.20022413,18.38222026,24,1
"Erica corifolia","Purpletip Heath","Erica","Ericaceae",-34.11295608,18.45701117,314,2
"Erica corifolia","Purpletip Heath","Erica","Ericaceae",-34.27283736,18.45104503,161,3
"Erica corifolia","Purpletip Heath","Erica","Ericaceae",-34.09329798,18.42370636,265,4
"Erica corifolia","Purpletip Heath","Erica","Ericaceae",-34.09038056,18.42068611,302,5
"Erica corifolia","Purpletip Heath","Erica","Ericaceae",-34.3094134,18.4324725,106,6
"Erica corifolia","Purpletip Heath","Erica","Ericaceae",-34.23842502,18.39671182,20,7
"Erica corifolia","Purpletip Heath","Erica","Ericaceae",-34.14719645,18.38596951,203,8
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.09885,18.45148833,315,1
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.10884086,18.45322516,314,2
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.17861063,18.39034546,298,3
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.09967167,18.45204833,315,4
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.175275,18.379666,298,5
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.09877892,18.45173319,315,6
